ranking,movie_name,score_num
1,这个杀手不太冷,787656
2,盗梦空间,729779
3,大话西游之大圣娶亲,462725
4,疯狂动物城,453476
5,指环王3：王者无敌,273586
6,七武士,69765
7,搏击俱乐部,390139
8,蝙蝠侠：黑暗骑士,299885
9,大话西游之月光宝盒,376251
10,指环王1：魔戒再现,288365
11,指环王2：双塔奇兵,258526
12,攻壳机动队,53580
13,将军号,6456
14,V字仇杀队,391722
15,勇敢的心,283662
16,黑客帝国,262747
17,用心棒,12487
18,桥,11126
19,攻壳机动队SSS,9073
20,铁达尼号沉没记,4884
21,让子弹飞,590312
22,血战钢锯岭,256449
23,谍影重重3,168793
24,英雄本色,135709
25,纵横四海,130027
26,东邪西毒：终极版,85155
27,小萝莉的猴神大叔,64717
28,精英部队2：大敌当前,43927
29,乱,30604
30,黑客帝国动画版,29923
31,芭萨提的颜色,9012
32,椿三十郎,7833
33,阿凡达,499280
34,超能陆战队,334728
35,加勒比海盗,311796
36,东邪西毒,233144
37,枪火,88222
38,恶童,45658
39,宾虚,17790
40,蝙蝠侠：黑暗骑士归来(下),14687
41,碧血金沙,3610
42,落叶,3581
43,蝙蝠侠：黑暗骑士崛起,270802
44,被解救的姜戈,239725
45,疯狂的麦克斯4：狂暴之路,192527
46,谍影重重,177240
47,谍影重重2,146673
48,黑客帝国3：矩阵革命,140570
49,勇闯夺命岛,131655
50,终结者2：审判日,129589
51,黑鹰坠落,99382
52,启示,42074
53,敲开天堂的门,7538
54,午夜狂奔,7524
55,西线无战事,6829
56,大菩萨岭,4769
57,兽兵卫忍风帖,4335
58,盗信情缘,3144
59,福禄双霸天,1621
60,通往自由的通道,1512
61,王牌特工：特工学院,306675
62,速度与激情5,203263
63,变脸,198524
64,新龙门客栈,166449
65,罪恶之城,131238
66,角斗士,119702
67,暗战,107652
68,神探,97389
69,黄海,72711
70,王牌对王牌,61493
71,盗火线,61206
72,杀死比尔整个血腥事件,9883
73,蜘蛛巢城,8229
74,侠女,6889
75,最长的一天,6705
76,红线,3679
77,飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,3471
78,死亡的游戏,1875
79,忍者小英雄,1008
80,源代码,377501
81,速度与激情7,246062
82,金刚狼3：殊死一战,169947
83,黑客帝国2：重装上阵,131600
84,银河护卫队2,89717
85,买凶拍人,88627
86,热血警探,80365
87,笑傲江湖2：东方不败,79720
88,星球大战,57657
89,太极旗飘扬,50148
90,喋血双雄,33923
91,一个字头的诞生,29153
92,荒野大镖客,18793
93,阿基拉,18034
94,精武门,13644
95,日落黄沙,4392
96,胜利之光,4220
97,菜鸟总动员：毕业,2271
98,飞出个未来大电影2：万背之兽,2093
99,冰海沉船,2051
100,孟菲斯美女号,1824
101,西游记之大圣归来,356470
102,釜山行,325020
103,碟中谍4,248115
104,X战警：逆转未来,237608
105,第九区,213485
106,霍比特人3：五军之战,185420
107,霍比特人2：史矛革之战,184794
108,铁甲钢拳,154206
109,无间道2,146304
110,蝙蝠侠：侠影之谜,124939
111,飓风营救,120913
112,星球大战前传3：西斯的复仇,51213
113,星球大战2：帝国反击战,45321
114,天国王朝,43099
115,星球大战3：绝地归来,42180
116,最终幻想7：圣子降临,38832
117,处刑人,31498
118,雌雄大盗,20840
119,猛龙过江,16670
